creation_date,critic_name,critic_picture,critic_vanity,is_fresh,is_rotten,is_rt_url,is_rt_url,is_top,publication_id,publication_name,review_url,quote,review_id,score_ori,score_sentiment
"Oct 18, 2008",Calvin Wilson,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,calvin-wilson,True,False,False,False,True,429,St. Louis Post-Dispatch,,"Downey is at his charismatic best, rendering believable Stark's transformation from self-indulgent jerk to socially conscious crusader.",1768854,,POSITIVE
"Oct 18, 2008",Bob Mondello,http://resizing.flixster.com/N2cFNfzbcG8qHGtM-JUfzmEyZ74=/38x42/v1.YzsxODEzO2c7MTk0NDA7MjA0ODszODs0Mg,bob-mondello,True,False,False,False,True,1953,NPR.org,http://www.npr.org/templates/story/story.php?storyId=89840968,"If every superhero franchise had a Robert Downey Jr., the genre might actually be watchable again.",1768848,,POSITIVE
"Oct 18, 2008",Jim Emerson,http://resizing.flixster.com/DSCC1zRpgSzmMyr9A8J47NCAJcQ=/38x39/v1.YzsxNDk0O2c7MTk0NDA7MjA0ODszODszOQ,jim-emerson,True,False,False,False,True,1708,RogerEbert.com,http://www.rogerebert.com/reviews/iron-man,"Not only is it a good comic book movie (smart and stupid, stirring and silly, intimate and spectacular), it's winning enough to engage even those who've never cared much for comic books or the movies they spawn. Like me.",1768828,3/4,POSITIVE
"Jun 20, 2008",Roger Ebert,http://resizing.flixster.com/B0rldzCm-wYQ2odC1o_6BCDVtmg=/128x128/v1.YzsyNTY5O2c7MTk0NDA7MjA0ODsxNTA7MTUw,roger-ebert,True,False,False,False,True,67,Chicago Sun-Times,http://www.rogerebert.com/reviews/iron-man-2008,At the end of the day it's Robert Downey Jr. who powers the lift-off separating this from most other superhero movies.,1736302,4/4,POSITIVE
"Jun 7, 2008",Jim Schembri,http://resizing.flixster.com/XqvouJ1d1mjbV1oM6Kh_001xmFI=/128x128/v1.YzsxMDAwMDAyNzUwO2o7MTk0NDk7MjA0ODs0NzU7NDc1,jim-schembri,True,False,False,False,True,2041,The Age (Australia),http://www.theage.com.au/news/film-reviews/iron-man/2008/05/01/1209235008645.html,Downey imbues this superhero with a heart that glows as radiantly as the power reactor implants in his chest.,1733430,3.5/5,POSITIVE
"May 2, 2008",Joe Morgenstern,http://resizing.flixster.com/pF3HpqyRtWssX86BeD1lyAV8iEA=/128x128/v1.YzsyNjI4O2c7MTk0NDA7MjA0ODsxNTA7MTUw,joe-morgenstern,True,False,False,False,True,841,Wall Street Journal,http://online.wsj.com/article/SB10001424053111903461104576459853003523680.html,"The gadgetry is absolutely dazzling, the action is mostly exhilarating, the comedy is scintillating and the whole enormous enterprise throbs with dramatic energy.",1725464,,POSITIVE
"May 2, 2008",Mick LaSalle,http://resizing.flixster.com/37s3d6FbEkytD01Gyl61C40VQXE=/38x45/v1.YzsxNjUwO2c7MTk0NDA7MjA0ODszODs0NQ,mick-lasalle,True,False,False,False,True,402,San Francisco Chronicle,http://www.sfgate.com/cgi-bin/article.cgi?file=/c/a/2008/05/02/DD7F10EG56.DTL,Iron Man is an action sci-fi blockbuster extravaganza that provides cartoon thrills for thinking people. It's the best movie of its kind since the second Spider-Man movie four years ago.,1725463,3.5/4,POSITIVE
"May 2, 2008",Joe Neumaier,http://resizing.flixster.com/wUu5l6Q4gXi7les6IQF4IKcQ-mA=/128x128/v1.YzsyMjc0O2o7MTk0NDA7MjA0ODsxNDQ7MTQ0,joe-neumaier,True,False,False,False,True,586,New York Daily News,http://www.nydailynews.com/entertainment/movies/2008/05/02/2008-05-02_robert_downey_jr_puts_the_pedal_to_the_m.html,"Actually feels like a classic comic book: fast, furious and flip. Forget about superheroes with love problems and tortured souls.",1725461,4/5,POSITIVE
"May 2, 2008",Lisa Kennedy,http://resizing.flixster.com/RgtusvdRgnl2P7TVSnFAfbpbBFM=/72x72/v1.YzsyMjY3O3A7MTk0NDA7MjA0ODs3Mjs3Mg,lisa-kennedy,True,False,False,False,True,492,Denver Post,,"Directed with joyful verve and a nice pinch of cultural nerve by Jon Favreau, Iron Man reinvigorates hope in the joys of the summer movie. It is simple -- and not so simple -- fun.",1725460,3.5/4,POSITIVE
"May 2, 2008",Peter Rainer,http://resizing.flixster.com/Cq8JYdSyOqg_EgUaQpkQUFQYlGM=/128x128/v1.YzsyNzIxO2c7MTk0NDA7MjA0ODsxNTA7MTUw,peter-rainer,False,True,False,False,True,71,Christian Science Monitor,http://www.csmonitor.com/2008/0502/p25s12-almo.html,"When Iron Man is zooming above bejewelled southern California, I expected a thundering lyricism but instead settled for some routine CGI stunts. I suppose it's asking too much for a great actor to be matched up with a great director.",1725459,,NEGATIVE
"May 2, 2008",Wesley Morris,http://resizing.flixster.com/eyZ0BEL92csieGlNwVwnTSjwJA4=/128x128/v1.YzszNjE3O2o7MTk0NDA7MjA0ODszMDA7MzAw,wesley-morris,True,False,False,False,True,44,Boston Globe,http://www.boston.com/ae/movies/articles/2008/05/01/flash_in_the_can,Downey could have taken a tragic tack. But he has fun just figuring out how to make the armor suit work. His sarcasm and almost drunken Tony Curtis body language transform the scenes of Iron Man.,1725457,2.5/4,POSITIVE
"May 2, 2008",Sara Michelle Fetters,http://resizing.flixster.com/cTv1bVYShb5fMSwQXJm5DWfqY20=/128x128/v1.YzsyNzc4O2c7MTk0NDA7MjA0ODsxNTA7MTUw,sara-michelle-fetters-8689,True,False,False,False,True,1411,MovieFreak.com,http://moviefreak.com/iron-man-2008-movie-review,I liked the movie. Sometimes I liked it a lot. I just never fell in love with this superhero origin story in a way that had any lasting impact.,1725441,3/4,POSITIVE
"May 2, 2008",Tim Robey,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,tim-robey,True,False,False,False,True,921,Daily Telegraph (UK),http://www.telegraph.co.uk/arts/main.jhtml?view=DETAILS&grid=&xml=/arts/2008/05/02/bfiron102.xml,"Based on yet another Marvel series, Iron Man has plenty of things going for it, the main assets being an enjoyably sardonic Downey, his hardware, and the downturned mouth of his new metal visage - a warning that this self-styled messiah means business.",1725404,,POSITIVE
"May 2, 2008",Peter Bradshaw,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,peter-bradshaw,False,True,False,False,True,205,Guardian,"http://film.guardian.co.uk/News_Story/Critic_Review/Guardian_Film_of_the_week/0,,2277218,00.html","Despite the convulsively jittery address to the role, [Downey] is never in the smallest degree engaging in the way director Jon Favreau appears to think.",1725403,2/5,NEGATIVE
"May 2, 2008",James Christopher,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,james-christopher,True,False,False,False,True,52,BBC.com,http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/film/film_reviews/article3848343.ece,"Iron Man is the first blockbuster movie of the summer, and, despite the topical Taleban atrocities, it's a roaring fairground ride.",1725402,4,POSITIVE
"May 2, 2008",Paul Arendt,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,paul-arendt,True,False,False,False,True,52,BBC.com,http://www.bbc.co.uk/films/2008/04/28/iron_man_2008_review.shtml,"Is it summer already? The first of the big budget superhero blockbusters has arrived, and it's a roaring success, thanks to a combination of superb special effects and canny casting.",1725401,4/5,POSITIVE
"May 2, 2008",Paul Byrnes,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,paul-byrnes,True,False,False,False,True,1354,Sydney Morning Herald,http://www.smh.com.au/news/film-reviews/iron-man/2008/05/01/1209235005054.html,There is precious little comedy and even less characterisation.,1725374,3/5,POSITIVE
"May 2, 2008",Steven D. Greydanus,http://resizing.flixster.com/L9DdYm51yUOWk55rNcoka3dBFnE=/128x128/v1.Yzs0MDE2O2o7MTk0NDA7MjA0ODszMDA7MzAw,steven-d-greydanus,True,False,False,False,True,991,Decent Films,http://www.decentfilms.com/sections/reviews/2791,"Smart, sardonic and more than a little silly, Iron Man is a successful super-hero movie that never takes itself too seriously.",1725352,B+,POSITIVE
"May 1, 2008",A.O. Scott,http://resizing.flixster.com/qXJreS-g2WjNF_2RsW8Rh3my1Q8=/128x128/v1.YzszNjI4O2o7MTk0NDA7MjA0ODszMDA7MzAw,ao-scott,True,False,False,False,True,337,New York Times,http://www.nytimes.com/2008/05/02/movies/02iron.html,Iron Man is an unusually good superhero picture. Or at least -- since it certainly has its problems -- a superhero movie that's good in unusual ways.,1725245,,POSITIVE
"May 1, 2008",Dana Stevens,http://resizing.flixster.com/ro1vA9rrqG3yx1qbjiP2WFYwois=/100x100/v1.YzsyMjM5O2o7MTk0NDA7MjA0ODsxMDA7MTAw,dana-stevens,True,False,False,False,True,419,Slate,http://www.slate.com/id/2190364/,"This middle section, in which the newly energized Tony tinkers with his emerging superpowers like a kid in shop class, is the movie's finest and funnest hour.",1725241,,POSITIVE
"May 1, 2008",Amy Biancolli,http://resizing.flixster.com/FY5aTLVksLJossm7pPr6V8JK6JQ=/38x42/v1.YzsxNTM0O2c7MTk0NDA7MjA0ODszODs0Mg,amy-biancolli,True,False,False,False,True,219,Houston Chronicle,http://www.chron.com/disp/story.mpl/ent/movies/reviews/5717307.html,"After 2003's Elf and 2005's Zathura, Favreau has now made three smart, family-friendly, high-concept popcorn movies.",1725202,3/4,POSITIVE
"May 1, 2008",Richard Corliss,http://resizing.flixster.com/caWxiBLTSKsZQQ-R7bVzCiBbBvY=/38x39/v1.YzsxNjUyO2c7MTk0NDA7MjA0ODszODszOQ,richard-corliss,True,False,False,False,True,448,TIME Magazine,"http://www.time.com/time/arts/article/0,8599,1736742,00.html","It's Iron Man to the rescue, yanking movies and the worldwide box office out of its months-long doldrums and into the stratosphere.",1725199,,POSITIVE
"May 1, 2008",Nathan Rabin,http://resizing.flixster.com/xMtaXx7H5dgnDyTFlpRbw1-ehM8=/128x128/v1.YzsyNjUyO2o7MTk0NDA7MjA0ODs3MzE7NzMx,nathan-rabin,True,False,False,False,True,833,AV Club,http://www.avclub.com/review/iron-man-2969,Iron Man is the rare comic-book movie that makes the prospect of a sequel seem like a promise instead of a threat.,1725197,B+,POSITIVE
"May 1, 2008",David Ansen,http://resizing.flixster.com/PCz5U6BmY4so3CxiLP4OYlFYrVc=/38x33/v1.YzsxNjIxO2c7MTk0NDA7MjA0ODszODszMw,david-ansen,True,False,False,False,True,339,Newsweek,http://www.newsweek.com/id/135033,Iron Man may not be distinguished enough to convert you to the cause. But Downey and Favreau give the movie a quirky flavor it can call its own. For that we can be grateful.,1725195,,POSITIVE
"May 1, 2008",Ann Hornaday,http://resizing.flixster.com/icjBxCdCFa-wqOpAtPt7NuNtbbw=/128x128/v1.YzsyNTg1O2c7MTk0NDA7MjA0ODsxNTA7MTUw,ann-hornaday,False,True,False,False,True,474,Washington Post,,"Toggling between Stark's impish goatee and Iron Man's full-metal body condom, and amid so many generic fireballs, kill shots and earsplitting thumps, bumps and crunches, the film finally collapses under its own weight.",1725142,,NEGATIVE
"May 1, 2008",Christopher Orr,http://resizing.flixster.com/anV6UvLXoQ0kG8m-gM1wPSmypOk=/128x128/v1.YzsyNTk5O2c7MTk0NDA7MjA0ODsxNTA7MTUw,christopher-orr,True,False,False,False,True,431,The New Republic,http://www.newrepublic.com/article/books-and-arts/the-movie-review-iron-man,"Even as Iron Man fulfills its genre obligations, it transcends them, thanks to lively direction by Favreau and, especially, the tour de force performance by Downey.",1725137,,POSITIVE
"May 1, 2008",Chris Vognar,http://resizing.flixster.com/9MOxd_ygzFP8D3p-Vfel-ODyABs=/38x47/v1.YzsxNjg3O2o7MTk0NDA7MjA0ODszODs0Nw,chris-vognar,True,False,False,False,True,490,Dallas Morning News,"http://www.guidelive.com/portal/page?_pageid=33,97283&_dad=portal&_schema=PORTAL&item_id=64612",A superhero debut with brains and brawn.,1725131,B+,POSITIVE
"May 1, 2008",Mark Rahner,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,mark-rahner,True,False,False,False,True,505,Seattle Times,http://seattletimes.nwsource.com/html/movies/2004384435_ironman01.html,"The payoff of casting Downey is as big as the risk. He's not in the movie, he owns it in a way that makes it hard to imagine without him.",1725129,3/4,POSITIVE
"May 1, 2008",Rene Rodriguez,http://resizing.flixster.com/TLV7Tq3LVqENQezkYoh86HzNToI=/128x128/v1.YzsyNjE2O2c7MTk0NDA7MjA0ODsxNTA7MTUw,rene-rodriguez,True,False,False,False,True,581,Miami Herald,,"[It's] an absolute blast to watch, a consummate piece of popcorn entertainment made with wit and class, and it leaves you so pumped for a sequel that it is practically guaranteed to become a huge hit. The bar for the summer movie season has been set.",1725126,3/4,POSITIVE
"May 1, 2008",Roger Moore,http://resizing.flixster.com/VM0N9YFnv9G9hQ0KIMfqBtFEYNM=/38x45/v1.YzsxNjU0O2c7MTk0NDA7MjA0ODszODs0NQ,roger-moore,True,False,False,False,True,498,Orlando Sentinel,,"Everything a summer movie should be, and more.",1725121,4/5,POSITIVE
"May 1, 2008",Stephen Whitty,http://resizing.flixster.com/RPoVjY7CJEn6al-d5aQJSpEfJ9U=/128x128/v1.YzsyNjI1O2c7MTk0NDA7MjA0ODsxNTA7MTUw,stephen-whitty,True,False,False,False,True,1374,Newark Star-Ledger,http://www.nj.com/entertainment/tv/index.ssf/2008/04/iron_man_reminds_us_why_we_lik.html,Iron Man is fresh and fast enough to remind you of why you liked comics to begin with.,1725119,3/4,POSITIVE
"May 1, 2008",Tom Long,http://resizing.flixster.com/LqosssY9PP1AuYL7kwMmZDRPmD0=/38x40/v1.YzsxNTA2O2c7MTk0NDA7MjA0ODszODs0MA,tom-long,True,False,False,False,True,122,Detroit News,http://www.detnews.com/apps/pbcs.dll/article?AID=/20080501/OPINION03/805010420/1034/ENT02,"Industrial-strength comic book moviemaking of the most entertaining order, Iron Man is darn near invincible fun, a perfect mix of high-tech dazzle and good old-fashioned charisma that's bound to leave audiences begging for more.",1725114,B,POSITIVE
"May 1, 2008",Bill Goodykoontz,http://resizing.flixster.com/z3iO26MrD5672YYQLtn7gNAlae4=/128x128/v1.YzsyNjI0O2c7MTk0NDA7MjA0ODsxNTA7MTUw,bill-goodykoontz,True,False,False,False,True,642,Arizona Republic,http://www.azcentral.com/ent/movies/articles/2008/05/01/20080501ironman.html,"The movie rises and falls on the strength of Downey, and it rises pretty high.",1725113,4/5,POSITIVE
"May 1, 2008",Lou Lumenick,http://resizing.flixster.com/0qngVThTJuhe5bjo3VyoHidT49Y=/38x48/v1.YzsxNjExO2c7MTk0NDA7MjA0ODszODs0OA,lou-lumenick,True,False,False,False,True,336,New York Post,,"One of the hippest, best-written and best-directed superhero movies ever -- a splendid way to kick off the summer movie season.",1725101,3.5/4,POSITIVE
"May 1, 2008",Kenneth Turan,http://resizing.flixster.com/8-34qevkXJPHx7FtUrPvxYBa5jI=/128x128/v1.YzsyNjgzO2c7MTk0NDA7MjA0ODsxNTA7MTUw,kenneth-turan,False,True,False,False,True,268,Los Angeles Times,http://www.latimes.com/entertainment/la-et-iron1-2008may01-story.html,"Downey's unbeatable charisma makes these problems less troublesome than they would be otherwise, but wouldn't it be nice if they didn't exist at all?",1725099,,NEGATIVE
"May 1, 2008",Claudia Puig,http://resizing.flixster.com/ws295Xw-fLpyLbxbRkPvlK0b684=/38x42/v1.YzsxNTIyO2c7MTk0NDA7MjA0ODszODs0Mg,claudia-puig,True,False,False,False,True,464,USA Today,http://www.usatoday.com/life/movies/reviews/2008-12-23-the-spirit_N.htm,Hollywood has unearthed an unlikely weapon of mass destruction: Robert Downey Jr.,1725097,3/4,POSITIVE
"May 1, 2008",Liam Lacey,http://resizing.flixster.com/1dS5UCpbWkdnGsl8KGWygSyANsA=/128x128/v1.YzsyODAwO2c7MTk0NDA7MjA0ODsxNTA7MTUw,liam-lacey,True,False,False,False,True,662,Globe and Mail,,"Downey's richly human performance as a reformed rake who relies on his intelligence, feels both personal and genuinely fresh.",1725096,3/4,POSITIVE
"May 1, 2008",Stephanie Zacharek,http://resizing.flixster.com/NDVP3e3IPqiOXqO-U0PITIta7Aw=/128x128/v1.YzsyNTg0O2c7MTk0NDA7MjA0ODsxNTA7MTUw,stephanie-zacharek,True,False,False,False,True,400,Salon.com,,"Although Downey spends a certain amount of screentime inside that suit, his face still carries the movie, giving it emotional weight.",1725095,,POSITIVE
"May 1, 2008",Peter Howell,http://resizing.flixster.com/zLPcOWJOd0BH9lV6j71eNGXKjU0=/128x128/v1.YzsyNTY4O2c7MTk0NDA7MjA0ODsxNTA7MTUw,peter-howell,True,False,False,False,True,450,Toronto Star,http://www.thestar.com/entertainment/article/420177,There's no rust on the first blockbuster of summer '08: Iron Man is an ironclad cinch to be a hit.,1725092,3.5/4,POSITIVE
"May 1, 2008",Bill Zwecker,http://resizing.flixster.com/XsdLjh65ahg3XifOLxP5tpuCubY=/38x45/v1.YzsxNTQwO2o7MTk0NDA7MjA0ODszODs0NQ,bill-zwecker,True,False,False,False,True,67,Chicago Sun-Times,,Iron Man is simply great escapism. It deserves to be the first blockbuster of the summer.,1725091,4/4,POSITIVE
"May 1, 2008",Brian Tallerico,http://resizing.flixster.com/Mg4tUSXPFRV9BQrEBpUAC3_9pMg=/128x128/v1.YzszNjUxO2o7MTk0NDA7MjA0ODs5NjA7OTYw,brian-tallerico,True,False,False,False,True,1919,The Deadbolt,http://thedeadbolt.com/news/104453/ironman_filmreview.php,"Iron Man is good but don't be surprised if you wish that the armor was a little more chipped and faded and not quite so perfectly ""hot-rod red.""",1725080,,POSITIVE
"Apr 30, 2008",Nick Schager,http://resizing.flixster.com/Mhz1yvouaDZoCBFCYVthygkT8Es=/128x128/v1.YzsxMDAwMDAyNjgyO2o7MTk0NDk7MjA0ODs3MTA7NzEx,nick-schager,True,False,False,False,True,821,Slant Magazine,http://www.slantmagazine.com/film/film_review.asp?ID=3643,"The film is at its best when reveling in Downey's gift for letting bon mots dryly roll off his tongue, as well as his effortless blend of hedonistic insouciance and resolute intensity.",1725017,2.5/4,POSITIVE
"Apr 30, 2008",Peter Travers,http://resizing.flixster.com/wVBmoouSVwsvtZnOSx_kAQgE8YY=/128x128/v1.YzszODEwO3A7MTk0NDA7MjA0ODs4NzY7ODM0,peter-travers,True,False,False,False,True,397,Rolling Stone,,Iron Man kicks off summer on a blazing high note and practically dares the competition to measure up.,1724998,3.5/4,POSITIVE
"Apr 30, 2008",Carrie Rickey,http://resizing.flixster.com/lo7yZzs8xr63U636V7hQ9IgolNA=/38x46/v1.YzsxNjg1O2o7MTk0NDA7MjA0ODszODs0Ng,carrie-rickey,True,False,False,False,True,361,Philadelphia Inquirer,http://www.philly.com/inquirer/columnists/carrie_rickey/20080430_Tony_Stark__a_most_dissolute_and_disarming_arms_NO_HEAD_SPECIFIED.html,"Fast, funny and deliriously entertaining.",1724997,3.5/4,POSITIVE
"Apr 30, 2008",Alonso Duralde,http://resizing.flixster.com/IeYX8_gBqM0YKLwbKtavlM19eBQ=/128x128/v1.YzsyNjIwO2c7MTk0NDA7MjA0ODsxNTA7MTUw,alonso-duralde,True,False,False,False,True,320,MSNBC,http://www.msnbc.msn.com/id/24372701/,"While the big-screen debut of the armor-plated Marvel Comics hero may feature technology that's way ahead of reality, a very human heart beats within this souped-up action machine.",1724996,,POSITIVE
"Apr 30, 2008",Frank Lovece,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,frank-lovece,True,False,False,False,True,338,Newsday,http://staugustine.com/stories/050208/compass_050208024.shtml#.VVpPB-eJJb0,"Despite several adrenaline-pumping moments, Favreau and Downey stay focused on the real story -- about a man learning to take responsibility for his actions. For all its firepower and CGI slickness, that's what really makes Iron Man fly.",1724995,3/4,POSITIVE
"Apr 30, 2008",Owen Gleiberman,http://resizing.flixster.com/6KgQ3nrcxd_rsbvYh5Ny7sbNmnk=/128x128/v1.YzsyNzE4O2c7MTk0NDA7MjA0ODsxNTA7MTUw,owen-gleiberman,True,False,False,False,True,150,Entertainment Weekly,"http://www.ew.com/ew/article/0,,20196644,00.html","The fun of Iron Man, a Marvel adaptation in which a routine arc has been burnished with great elegance and skill, is the way that it heals the split, soldering the two halves of its hero into a single organically driven figure.",1724974,B+,POSITIVE
"Apr 30, 2008",Michael Phillips,http://resizing.flixster.com/jYb9g8ureMk9VRhm863wqzJEH4M=/38x38/v1.YzsxNzg4O2c7MTk0NDA7MjA0ODszODszOA,michael-phillips-11845,True,False,False,False,True,68,Chicago Tribune,,"Mainly it has Robert Downey Jr. The newly insurable actor, who has had his run-ins with various chemicals in the past, plays this louche playboy with a knowing glint in his eye.""",1724970,3.5/4,POSITIVE
"Apr 30, 2008",Glenn Kenny,http://resizing.flixster.com/mm_ej2dyxY_6w3lTodcMBZYQRbY=/128x128/v1.YzsyMjU1O2o7MTk0NDA7MjA0ODsyMDA7MjUw,glenn-kenny,True,False,False,False,True,372,Premiere Magazine,http://www.premiere.com/moviereviews/4553/iron-man.html,Seeing Downey and Bridges duel is one of the film's primary delights.,1724969,3/4,POSITIVE
"Apr 30, 2008",Marc Savlov,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,marc-savlov,True,False,False,False,True,28,Austin Chronicle,http://www.austinchronicle.com/gyrobase/Calendar/Film?Film=oid%3a617502,"Bloodied but unbowed, wounded but walking, Downey Jr.'s sly take on Marvel Comics' cold warrior Iron Man elevates everything about this film.",1724968,3.5/5,POSITIVE
"Apr 30, 2008",Christy Lemire,http://resizing.flixster.com/6KpjaQUc25VJKaab7s7JXacOVQg=/128x128/v1.YzsyNjA5O2c7MTk0NDA7MjA0ODsxNTA7MTUw,christy-lemire,True,False,False,False,True,531,Associated Press,http://www.cbsnews.com/news/iron-man-the-thinking-fans-blockbuster/,Beneath the requisite spectacle is an issue-laden storyline with heart to go along with its brains.,1724967,,POSITIVE
"Apr 30, 2008",James Berardinelli,http://resizing.flixster.com/z0pazzvS1HjdR00fvvt5Z22CPkQ=/128x128/v1.YzsyNzIzO2c7MTk0NDA7MjA0ODsxNTA7MTUw,james-berardinelli,True,False,False,False,True,387,ReelViews,http://www.reelviews.net/php_review_template.php?identifier=764,"Over the years, there have been only a handful of exceptional superhero movies, and Iron Man is among them.",1724948,3.5/4,POSITIVE
"Apr 28, 2008",David Denby,http://resizing.flixster.com/1xAB0yFcBupGRBpnhI_WwwirMwk=/38x43/v1.YzsxNTk3O2c7MTk0NDA7MjA0ODszODs0Mw,david-denby,False,True,False,False,True,924,New Yorker,http://www.newyorker.com/arts/critics/cinema/2008/05/05/080505crci_cinema_denby,"There's a slightly depressed, going-through-the-motions feel to the entire show.",1724636,,NEGATIVE
"Apr 28, 2008",David Edelstein,http://resizing.flixster.com/OOkd_hoJpiuU8S_wEgmKLbhquFc=/38x39/v1.YzsxNjEwO2c7MTk0NDA7MjA0ODszODszOQ,david-edelstein,True,False,False,False,True,334,New York Magazine/Vulture,http://nymag.com/movies/reviews/46460/,Iron Man is a shapely piece of mythmaking.,1724624,,POSITIVE
