year_film,year_ceremony,ceremony,category,name,film,winner
1936,1937,9,DIRECTING,Robert Z. Leonard,The Great Ziegfeld,0
1936,1937,9,DIRECTING,Frank Capra,Mr. Deeds Goes to Town,1
1936,1937,9,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",The Texas Rangers,0
1936,1937,9,SOUND RECORDING,"Universal Studio Sound Department, Homer G. Tasker, Sound Director",Three Smart Girls,0
1936,1937,9,WRITING (Original Story),Robert Hopkins,San Francisco,0
1936,1937,9,WRITING (Screenplay),Sidney Howard,Dodsworth,0
1936,1937,9,WRITING (Screenplay),Robert Riskin,Mr. Deeds Goes to Town,0
1936,1937,9,SPECIAL AWARD, The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.,,1
1936,1937,9,SPECIAL AWARD, W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production,,1
1937,1938,10,ACTOR,Robert Montgomery,Night Must Fall,0
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Andrea Leeds,Stage Door,0
1937,1938,10,ART DIRECTION,"Cedric Gibbons, William Horning",Conquest,0
1937,1938,10,ART DIRECTION,"Hans Dreier, Roland Anderson",Souls at Sea,0
1937,1938,10,ART DIRECTION,"William S. Darling, David Hall",Wee Willie Winkie,0
1937,1938,10,ASSISTANT DIRECTOR,Robert Webb,In Old Chicago,1
1937,1938,10,DANCE DIRECTION,Bobby Connolly,"Ready, Willing and Able",0
1937,1938,10,DANCE DIRECTION,Sammy Lee,Ali Baba Goes to Town,0
1937,1938,10,DIRECTING,Sidney Franklin,The Good Earth,0
1937,1938,10,MUSIC (Scoring),"Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)",Snow White and the Seven Dwarfs,0
1937,1938,10,MUSIC (Scoring),"Paramount Studio Music Department, Boris Morros, head of department  (Score by W. Franke Harling and Milan Roder)",Souls at Sea,0
1937,1938,10,MUSIC (Song),Music by Frederick Hollander; Lyrics by Leo Robin,Artists and Models,0
1937,1938,10,SOUND RECORDING,"Universal Studio Sound Department, Homer G. Tasker, Sound Director",One Hundred Men and a Girl,0
1937,1938,10,WRITING (Original Story),Robert Lord,Black Legion,0
1937,1938,10,WRITING (Original Story),"William A. Wellman, Robert Carson",A Star Is Born,1
1937,1938,10,WRITING (Screenplay),"John Lee Mahin, Marc Connelly, Dale Van Every",Captains Courageous,0
1937,1938,10,WRITING (Screenplay),"Dorothy Parker, Alan Campbell, Robert Carson",A Star Is Born,0
1937,1938,10,SPECIAL AWARD, W. Howard Greene for the color photography of A Star Is Born.  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.),,1
1938,1939,11,ACTOR,Robert Donat,The Citadel,0
1938,1939,11,ACTOR,Leslie Howard,Pygmalion,0
1938,1939,11,ACTOR IN A SUPPORTING ROLE,Robert Morley,Marie Antoinette,0
1938,1939,11,CINEMATOGRAPHY,James Wong Howe,Algiers,0
1938,1939,11,CINEMATOGRAPHY,"Ernest Miller, Harry Wild",Army Girl,0
1938,1939,11,CINEMATOGRAPHY,Robert de Grasse,Vivacious Lady,0
1938,1939,11,DIRECTING,Frank Capra,You Can't Take It with You,1
1938,1939,11,MUSIC (Scoring),"Charles Previn, Frank Skinner",Mad about Music,0
1938,1939,11,MUSIC (Song),Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright,Mannequin,0
1938,1939,11,MUSIC (Song),Music and Lyrics by Irving Berlin,Carefree,0
1938,1939,11,MUSIC (Song),Music and Lyrics by Irving Berlin,Alexander's Ragtime Band,0
1938,1939,11,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,The Big Broadcast of 1938,1
1938,1939,11,WRITING (Original Story),Irving Berlin,Alexander's Ragtime Band,0
1938,1939,11,WRITING (Original Story),John Howard Lawson,Blockade,0
1938,1939,11,WRITING (Original Story),Frank Wead,Test Pilot,0
1938,1939,11,WRITING (Screenplay),"Ian Dalrymple, Frank Wead, Elizabeth Hill",The Citadel,0
1938,1939,11,WRITING (Screenplay),Robert Riskin,You Can't Take It with You,0
1938,1939,11,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,,0
1939,1940,12,ACTOR,Robert Donat,"Goodbye, Mr. Chips",1
1939,1940,12,ART DIRECTION,"Hans Dreier, Robert Odell",Beau Geste,0
1939,1940,12,ART DIRECTION,"Jack Otterson, Martin Obzina",First Love,0
1939,1940,12,ART DIRECTION,"Cedric Gibbons, William A. Horning",The Wizard of Oz,0
1939,1940,12,CINEMATOGRAPHY (Black-and-White),Arthur Miller,The Rains Came,0
1939,1940,12,CINEMATOGRAPHY (Color),"Sol Polito, W. Howard Greene",The Private Lives of Elizabeth and Essex,0
1939,1940,12,DIRECTING,Frank Capra,Mr. Smith Goes to Washington,0
1939,1940,12,DIRECTING,John Ford,Stagecoach,0
1939,1940,12,MUSIC (Scoring),"George E. Stoll, Roger Edens",Babes in Arms,0
1939,1940,12,MUSIC (Scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach,1
1939,1940,12,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,Gulliver's Travels,0
1939,1940,12,MUSIC (Song),Music and Lyrics by Irving Berlin,Second Fiddle,0
1939,1940,12,SPECIAL EFFECTS,"Roy Davidson, Edwin C. Hahn",Only Angels Have Wings,0
1939,1940,12,WRITING (Original Story),Felix Jackson,Bachelor Mother,0
1939,1940,12,WRITING (Original Story),Melchior Lengyel,Ninotchka,0
1939,1940,12,WRITING (Screenplay),Sidney Howard,Gone with the Wind,1
1939,1940,12,WRITING (Screenplay),"R. C. Sherriff, Claudine West, Eric Maschwitz","Goodbye, Mr. Chips",0
1939,1940,12,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,,1
1940,1941,13,ACTRESS,Ginger Rogers,Kitty Foyle,1
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Judith Anderson,Rebecca,0
1940,1941,13,ART DIRECTION (Black-and-White),"Hans Dreier, Robert Usher","Arise, My Love",0
1940,1941,13,ART DIRECTION (Black-and-White),"Lionel Banks, Robert Peterson",Arizona,0
1940,1941,13,ART DIRECTION (Black-and-White),"Van Nest Polglase, Mark-Lee Kirk",My Favorite Wife,0
1940,1941,13,ART DIRECTION (Color),"Hans Dreier, Roland Anderson",North West Mounted Police,0
1940,1941,13,CINEMATOGRAPHY (Black-and-White),James Wong Howe,Abe Lincoln in Illinois,0
1940,1941,13,CINEMATOGRAPHY (Color),"Arthur Miller, Ray Rennahan",The Blue Bird,0
1940,1941,13,CINEMATOGRAPHY (Color),"Victor Milner, W. Howard Greene",North West Mounted Police,0
1940,1941,13,DIRECTING,John Ford,The Grapes of Wrath,1
1940,1941,13,FILM EDITING,Robert Simpson,The Grapes of Wrath,0
1940,1941,13,MUSIC (Original Score),Frank Skinner,The House of the Seven Gables,0
1940,1941,13,MUSIC (Scoring),"Roger Edens, Georgie Stoll",Strike Up the Band,0
1940,1941,13,MUSIC (Song),Music and Lyrics by Chet Forrest and Bob Wright,Music in My Heart,0
1940,1941,13,MUSIC (Song),Music and Lyrics by Roger Edens and Arthur Freed,Strike Up the Band,0
1940,1941,13,MUSIC (Song),Music by Robert Stolz; Lyrics by Gus Kahn,Spring Parade,0
1940,1941,13,SPECIAL EFFECTS,"Photographic Effects by Howard J. Lydecker, William Bradford, Ellis J. Thackery; Sound Effects by Herbert Norsch",Women in War,0
1940,1941,13,WRITING (Screenplay),"Robert E. Sherwood, Joan Harrison",Rebecca,0
1940,1941,13,SPECIAL AWARD, Bob Hope,,1
1941,1942,14,ACTOR,Robert Montgomery,Here Comes Mr. Jordan,0
1941,1942,14,ART DIRECTION (Black-and-White),"Art Direction:  Martin Obzina, Jack Otterson;  Interior Decoration:  Russell A. Gausman",The Flame of New Orleans,0
1941,1942,14,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, Robert Usher;  Interior Decoration:  Sam Comer",Hold Back the Dawn,0
1941,1942,14,ART DIRECTION (Black-and-White),Art Direction:  Stephen Goosson;  Interior Decoration:  Howard Bristol,The Little Foxes,0
1941,1942,14,ART DIRECTION (Black-and-White),Sis Hopkins,Sis Hopkins,0
1941,1942,14,ART DIRECTION (Black-and-White),Art Direction:  Alexander Golitzen;  Interior Decoration:  Richard Irvine,Sundown,0
1941,1942,14,CINEMATOGRAPHY (Black-and-White),Arthur Miller,How Green Was My Valley,1
1941,1942,14,CINEMATOGRAPHY (Color),"Karl Freund, W. Howard Greene",Blossoms in the Dust,0
1941,1942,14,DIRECTING,John Ford,How Green Was My Valley,1
1941,1942,14,DIRECTING,Howard Hawks,Sergeant York,0
1941,1942,14,DOCUMENTARY (Short Subject),The March of Time,Norway in Revolt,0
1941,1942,14,DOCUMENTARY (Short Subject),Philadelphia Housing Association,A Place to Live,0
1941,1942,14,FILM EDITING,Robert Wise,Citizen Kane,0
1941,1942,14,FILM EDITING,William Holmes,Sergeant York,1
1941,1942,14,MUSIC (Music Score of a Dramatic Picture),Frank Skinner,Back Street,0
1941,1942,14,MUSIC (Scoring of a Musical Picture),Robert Emmett Dolan,Birth of the Blues,0
1941,1942,14,MUSIC (Scoring of a Musical Picture),"Frank Churchill, Oliver Wallace",Dumbo,1
1941,1942,14,MUSIC (Song),Music by Frank Churchill; Lyrics by Ned Washington,Dumbo,0
1941,1942,14,MUSIC (Song),Music by Lou Alter; Lyrics by Frank Loesser,Las Vegas Nights,0
1941,1942,14,WRITING (Original Screenplay),"Abem Finkel, Harry Chandlee, Howard Koch, John Huston",Sergeant York,0
1941,1942,14,WRITING (Original Story),Monckton Hoffe,The Lady Eve,0
1941,1942,14,WRITING (Original Story),"Richard Connell, Robert Presnell",Meet John Doe,0
1941,1942,14,WRITING (Screenplay),"Sidney Buchman, Seton I. Miller",Here Comes Mr. Jordan,1
1942,1943,15,ACTOR IN A SUPPORTING ROLE,Frank Morgan,Tortilla Flat,0
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Susan Peters,Random Harvest,0
1942,1943,15,ART DIRECTION (Black-and-White),"Art Direction:  Max Parker, Mark-Lee Kirk;  Interior Decoration:  Casey Roberts",George Washington Slept Here,0
1942,1943,15,ART DIRECTION (Black-and-White),Art Direction:  Perry Ferguson;  Interior Decoration:  Howard Bristol,The Pride of the Yankees,0
1942,1943,15,ART DIRECTION (Black-and-White),"Art Direction:  Jack Otterson, John B. Goodman;  Interior Decoration:  Russell A. Gausman, Edward R. Robinson",The Spoilers,0
1942,1943,15,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, Roland Anderson;  Interior Decoration:  Sam Comer","Take a Letter, Darling",0
1942,1943,15,ART DIRECTION (Color),Art Direction:  Ted Smith;  Interior Decoration:  Casey Roberts,Captains of the Clouds,0
1942,1943,15,ART DIRECTION (Color),"Art Direction:  Hans Dreier, Roland Anderson;  Interior Decoration:  George Sawley",Reap the Wild Wind,0
1942,1943,15,CINEMATOGRAPHY (Black-and-White),James Wong Howe,Kings Row,0
1942,1943,15,CINEMATOGRAPHY (Black-and-White),Stanley Cortez,The Magnificent Ambersons,0
1942,1943,15,CINEMATOGRAPHY (Black-and-White),Arthur Miller,This above All,0
1942,1943,15,CINEMATOGRAPHY (Color),"Milton Krasner, William V. Skall, W. Howard Greene",Arabian Nights,0
1942,1943,15,CINEMATOGRAPHY (Color),W. Howard Greene,Jungle Book,0
1942,1943,15,DOCUMENTARY,The March of Time,"Africa, Prelude to Victory",0
1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),Frank Skinner,Arabian Nights,0
1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),"Frank Churchill, Edward Plumb",Bambi,0
1942,1943,15,MUSIC (Music Score of a Dramatic or Comedy Picture),"Frederick Hollander, Morris Stoloff",The Talk of the Town,0
1942,1943,15,MUSIC (Scoring of a Musical Picture),"Roger Edens, Georgie Stoll",For Me and My Gal,0
1942,1943,15,MUSIC (Scoring of a Musical Picture),Robert Emmett Dolan,Holiday Inn,0
1942,1943,15,MUSIC (Song),Music by Frank Churchill; Lyrics by Larry Morey,Bambi,0
1942,1943,15,MUSIC (Song),Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright,Flying with Music,0
1942,1943,15,MUSIC (Song),Music and Lyrics by Irving Berlin,Holiday Inn,1
1942,1943,15,SPECIAL EFFECTS,"Photographic Effects by Fred Sersen; Sound Effects by Roger Heman, George Leverett",The Black Swan,0
1942,1943,15,SPECIAL EFFECTS,Photographic Effects by Howard Lydecker; Sound Effects by Daniel J. Bloomberg,Flying Tigers,0
1942,1943,15,SPECIAL EFFECTS,Photographic Effects by Ronald Neame; Sound Effects by C. C. Stevens,One of Our Aircraft Is Missing,0
1942,1943,15,WRITING (Original Motion Picture Story),Irving Berlin,Holiday Inn,0
1942,1943,15,WRITING (Original Motion Picture Story),Robert Buckner,Yankee Doodle Dandy,0
1942,1943,15,WRITING (Original Screenplay),"Frank Butler, Don Hartman",Road to Morocco,0
1942,1943,15,WRITING (Original Screenplay),"W. R. Burnett, Frank Butler",Wake Island,0
1942,1943,15,WRITING (Screenplay),"Rodney Ackland, Emeric Pressburger",The Invaders,0
1942,1943,15,WRITING (Screenplay),"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",Mrs. Miniver,1
1942,1943,15,WRITING (Screenplay),"Claudine West, George Froeschel, Arthur Wimperis",Random Harvest,0
1942,1943,15,SPECIAL AWARD, Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry.,,1
1942,1943,15,IRVING G. THALBERG MEMORIAL AWARD,Sidney Franklin,,1
1943,1944,16,ART DIRECTION (Black-and-White),"Art Direction:  Albert S. D'Agostino, Carroll Clark;  Interior Decoration:  Darrell Silvera, Harley Miller",Flight for Freedom,0
1943,1944,16,ART DIRECTION (Black-and-White),Art Direction:  Carl Weyl;  Interior Decoration:  George J. Hopkins,Mission to Moscow,0
1943,1944,16,ART DIRECTION (Black-and-White),Art Direction:  Perry Ferguson;  Interior Decoration:  Howard Bristol,The North Star,0
1943,1944,16,ART DIRECTION (Color),"Art Direction:  John Hughes, Lt. John Koenig;  Interior Decoration:  George J. Hopkins",This Is the Army,0
1943,1944,16,CINEMATOGRAPHY (Black-and-White),"James Wong Howe, Elmer Dyer, Charles Marshall",Air Force,0
1943,1944,16,CINEMATOGRAPHY (Black-and-White),James Wong Howe,The North Star,0
1943,1944,16,CINEMATOGRAPHY (Black-and-White),Arthur Miller,The Song of Bernadette,1
1943,1944,16,CINEMATOGRAPHY (Color),"Hal Mohr, W. Howard Greene",Phantom of the Opera,1
1943,1944,16,DIRECTING,George Stevens,The More the Merrier,0
1943,1944,16,DOCUMENTARY (Short Subject),The March of Time,Youth in Crisis,0
1943,1944,16,MUSIC (Music Score of a Dramatic or Comedy Picture),"Frank Skinner, Hans J. Salter",The Amazing Mrs. Holliday,0
1943,1944,16,MUSIC (Scoring of a Musical Picture),Robert Emmett Dolan,Star Spangled Rhythm,0
1943,1944,16,MUSIC (Song),Music by Arthur Schwartz; Lyrics by Frank Loesser,Thank Your Lucky Stars,0
1943,1944,16,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Cavalcade of Dance with Veloz and Yolanda,0
1943,1944,16,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",Women at War,0
1943,1944,16,SPECIAL EFFECTS,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,Crash Dive,1
1943,1944,16,WRITING (Original Motion Picture Story),"Robert Russell, Frank Ross",The More the Merrier,0
1943,1944,16,WRITING (Screenplay),"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca,1
1943,1944,16,WRITING (Screenplay),"Robert Russell, Frank Ross, Richard Flournoy, Lewis R. Foster",The More the Merrier,0
1944,1945,17,ART DIRECTION (Black-and-White),"Art Direction:  Lionel Banks, Walter Holscher;  Interior Decoration:  Joseph Kish",Address Unknown,0
1944,1945,17,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, Robert Usher;  Interior Decoration:  Sam Comer",No Time for Love,0
1944,1945,17,ART DIRECTION (Black-and-White),Art Direction:  Mark-Lee Kirk;  Interior Decoration:  Victor A. Gangelin,Since You Went Away,0
1944,1945,17,ART DIRECTION (Color),Art Direction:  Ernst Fegte;  Interior Decoration:  Howard Bristol,The Princess and the Pirate,0
1944,1945,17,CINEMATOGRAPHY (Black-and-White),"Stanley Cortez, Lee Garmes",Since You Went Away,0
1944,1945,17,CINEMATOGRAPHY (Black-and-White),"Robert Surtees, Harold Rosson",Thirty Seconds over Tokyo,0
1944,1945,17,MUSIC (Music Score of a Dramatic or Comedy Picture),"Edward Paul, Michel Michelet",The Hairy Ape,0
1944,1945,17,MUSIC (Music Score of a Dramatic or Comedy Picture),Robert Stolz,It Happened Tomorrow,0
1944,1945,17,MUSIC (Music Score of a Dramatic or Comedy Picture),David Rose,The Princess and the Pirate,0
1944,1945,17,MUSIC (Music Score of a Dramatic or Comedy Picture),Franke Harling,Three Russian Girls,0
1944,1945,17,MUSIC (Music Score of a Dramatic or Comedy Picture),Michel Michelet,Voice in the Wind,0
1944,1945,17,MUSIC (Scoring of a Musical Picture),Robert Emmett Dolan,Lady in the Dark,0
1944,1945,17,MUSIC (Song),Music and Lyrics by Ralph Blane and Hugh Martin,Meet Me in St. Louis,0
1944,1945,17,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Jammin' the Blues,0
1944,1945,17,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",I Won't Play,1
1944,1945,17,SPECIAL EFFECTS,"Photographic Effects by David Allen, Ray Cory, Robert Wright; Sound Effects by Russell Malmgren, Harry Kusnick",Secret Command,0
1944,1945,17,SPECIAL EFFECTS,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,Wilson,0
1944,1945,17,WRITING (Original Motion Picture Story),"Chandler Sprague, David Boehm",A Guy Named Joe,0
1944,1945,17,WRITING (Screenplay),"Frank Butler, Frank Cavett",Going My Way,1
1944,1945,17,WRITING (Screenplay),"Jay Dratler, Samuel Hoffenstein, Betty Reinhardt",Laura,0
1944,1945,17,WRITING (Screenplay),"Irving Brecher, Fred F. Finklehoffe",Meet Me in St. Louis,0
1944,1945,17,SPECIAL AWARD, Bob Hope for his many services to the Academy.,,1
1945,1946,18,ACTOR IN A SUPPORTING ROLE,Robert Mitchum,G. I. Joe,0
1945,1946,18,ART DIRECTION (Black-and-White),"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes",The Keys of the Kingdom,0
1945,1946,18,ART DIRECTION (Black-and-White),"Art Direction:  Hans Dreier, Roland Anderson;  Interior Decoration:  Sam Comer, Ray Moyer",Love Letters,0
1945,1946,18,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Hans Peters;  Interior Decoration:  Edwin B. Willis, Hugh Hunt, John Bonar",The Picture of Dorian Gray,0
1945,1946,18,ART DIRECTION (Color),"Art Direction:  Stephen Goosson, Rudolph Sternad;  Interior Decoration:  Frank Tuttle",A Thousand and One Nights,0
1945,1946,18,CINEMATOGRAPHY (Black-and-White),Arthur Miller,The Keys of the Kingdom,0
1945,1946,18,CINEMATOGRAPHY (Color),"Robert Planck, Charles Boyle",Anchors Aweigh,0
1945,1946,18,DOCUMENTARY (Short Subject),"Gordon Hollingshead, Producer",Hitler Lives?,1
1945,1946,18,FILM EDITING,Robert J. Kern,National Velvet,1
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Robert Emmett Dolan,The Bells of St. Mary's,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Robert Emmett Dolan,Incendiary Blonde,0
1945,1946,18,MUSIC (Song),Music by David Rose; Lyrics by Leo Robin,Wonder Man,0
1945,1946,18,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Story of a Dog,0
1945,1946,18,SHORT SUBJECT (Two-reel),"Chester Franklin, Producer;  Jerry Bresler, Executive Producer",A Gun in His Hand,0
1945,1946,18,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",Star in the Night,1
1945,1946,18,SPECIAL EFFECTS,"Photographic Effects by Fred Sersen, Sol Halprin; Sound Effects by Roger Heman, Harry Leonard",Captain Eddie,0
1945,1946,18,SPECIAL EFFECTS,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Robert A. MacDonald; Sound Effects by Michael Steinore",They Were Expendable,0
1945,1946,18,WRITING (Original Screenplay),Milton Holmes,Salty O'Rourke,0
1945,1946,18,WRITING (Screenplay),"Leopold Atlas, Guy Endore, Philip Stevenson",G. I. Joe,0
1945,1946,18,WRITING (Screenplay),"Tess Slesinger, Frank Davis",A Tree Grows in Brooklyn,0
1945,1946,18,SPECIAL AWARD, The House I Live In,,1
1946,1947,19,ACTOR,Larry Parks,The Jolson Story,0
1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Flora Robson,Saratoga Trunk,0
1946,1947,19,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes",Anna and the King of Siam,1
1946,1947,19,CINEMATOGRAPHY (Black-and-White),Arthur Miller,Anna and the King of Siam,1
1946,1947,19,DIRECTING,David Lean,Brief Encounter,0
1946,1947,19,DIRECTING,Frank Capra,It's a Wonderful Life,0
1946,1947,19,DIRECTING,Robert Siodmak,The Killers,0
1946,1947,19,DOCUMENTARY (Short Subject),The March of Time,Atomic Power,0
1946,1947,19,FILM EDITING,William Hornbeck,It's a Wonderful Life,0
1946,1947,19,MUSIC (Scoring of a Musical Picture),Robert Emmett Dolan,Blue Skies,0
1946,1947,19,MUSIC (Song),Music by Hoagy Carmichael; Lyrics by Jack Brooks,Canyon Passage,0
1946,1947,19,MUSIC (Song),Music and Lyrics by Irving Berlin,Blue Skies,0
1946,1947,19,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Facing Your Danger,1
1946,1947,19,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Smart as a Fox,0
1946,1947,19,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",A Boy and His Dog,1
1946,1947,19,SPECIAL EFFECTS,Special Visual Effects by Thomas Howard,Blithe Spirit,1
1946,1947,19,WRITING (Original Screenplay),"Norman Panama, Melvin Frank",Road to Utopia,0
1946,1947,19,WRITING (Screenplay),Robert E. Sherwood,The Best Years of Our Lives,1
1946,1947,19,WRITING (Screenplay),"David Lean, Anthony Havelock-Allan, Ronald Neame",Brief Encounter,0
1947,1948,20,ACTOR IN A SUPPORTING ROLE,Robert Ryan,Crossfire,0
1947,1948,20,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,Gentleman's Agreement,1
1947,1948,20,ART DIRECTION (Color),Art Direction:  Robert M. Haas;  Set Decoration:  George James Hopkins,Life with Father,0
1947,1948,20,CINEMATOGRAPHY (Color),Harry Jackson,Mother Wore Tights,0
1947,1948,20,DIRECTING,David Lean,Great Expectations,0
1947,1948,20,FILM EDITING,"Francis Lyon, Robert Parrish",Body and Soul,1
